Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 2138 C,48.78,-0.9,-20.05,54.32,0,0,21.82,0,0,20.65,0,0,3.21
PANTONE 2139 C,43.29,0.03,-29.7,36.5,0,0,31.05,0,0,30.71,0,1.74,0
PANTONE 214 C,47.12,71.25,4.01,8.04,25.25,0,65.82,0,0,0.89,0,0,0
PANTONE 2140 C,34.64,2.31,-31.62,6.61,0,0,50.23,0.24,0,42.92,0,0,0
PANTONE 2141 C,74.11,-7.9,-31.59,92.67,0,0,0,0,0,0,5.08,2.25,0
PANTONE 2142 C,68.53,-3.46,-37.16,89.97,0,0,0,0,0,0,6.11,3.92,0
PANTONE 2143 C,54.6,-4.74,-45.84,79.18,0,0,0,0.46,0,0,13.38,6.98,0
PANTONE 2144 C,40.99,-1.1,-54.94,57.04,0,0,0,0,0,7.02,20.85,15.09,0
PANTONE 2145 C,31.6,5.17,-59.02,35.05,0,0,0,0,0,12.8,28.15,24,0
PANTONE 2146 C,22.76,13.34,-57.13,7.6,0,0,0,0,0,28.41,23.13,40.86,0
PANTONE 2147 C,17.63,16.88,-51.79,1.77,0,0,0,10.19,0,0,47.7,40.34,0
PANTONE 2148 C,57.76,-7.78,-27.41,79.67,0,5.79,0,0,0,9.55,4.99,0,0
PANTONE 2149 C,51.79,-8.67,-29.41,71.85,0,7.92,0,0,0,14.3,5.93,0,0
PANTONE 215 C,39.66,60.68,2.16,0.18,38.04,0,58.69,0,0,0,3.09,0,0
PANTONE 2150 C,45.94,-9.1,-31.51,62.85,0,10.46,0,0,0,19.27,7.42,0,0
PANTONE 2151 C,42.52,-5.84,-39.5,61.62,0,11.41,0,0,0,11.44,15.53,0,0
PANTONE 2152 C,39.23,-9.7,-32.96,49.47,0,14.12,0,0,0,27.62,8.79,0,0
PANTONE 2153 C,33.01,-10.09,-32.2,42.53,0,15.23,0,0,9.94,0,32.3,0,0
PANTONE 2154 C,27.26,-2.15,-41.88,26.24,0,22.74,0,0,0,27.16,23.86,0,0
PANTONE 2155 C,72.16,-3.4,-18.07,90.57,0,0,0,0.29,0,5.46,0,3.68,0
PANTONE 2156 C,66.31,-3.79,-20.92,85.95,0,0,0,0.59,0,8.08,0,5.38,0
PANTONE 2157 C,59.34,-4.21,-23.75,78.8,0,0,0,1.05,0,12.23,0,7.92,0
PANTONE 2158 C,52.27,-5.42,-25.99,69.15,0,0,0,1.7,0,18.04,0,11.11,0
PANTONE 2159 C,47.58,-5.47,-27.59,64.66,0,0,0,0,0,19.98,0,12.7,2.66
PANTONE 216 C,30.48,42.63,0,3.12,59.96,0,27.03,0,0,0,9.89,0,0
PANTONE 2160 C,41.97,-5.26,-29.08,30.85,0,0,31.09,0,0,36.49,0,1.57,0
PANTONE 2161 C,34.74,-4.66,-30.14,4.31,0,0,46.45,0,0.38,48.86,0,0,0
PANTONE 2162 C,67.67,0.39,-12.28,87.27,0,0,0,2.19,0,5.88,0,4.66,0
PANTONE 2163 C,62.67,-3.76,-15.77,74.49,0,0,11.37,1.12,0,13.02,0,0,0
PANTONE 2164 C,59.75,-3.52,-16.44,70.01,0,0,13.43,1.42,0,15.14,0,0,0
PANTONE 2165 C,52.16,-4.21,-18.1,55.88,0,0,19.57,2.26,0,22.29,0,0,0
PANTONE 2166 C,46.29,-4.52,-19.27,49.22,0,0,22.13,0,0,24.48,0,0,4.17
PANTONE 2167 C,43.62,-4.79,-19.73,43.12,0,0,24.68,0,0,27.41,0,0,4.79
PANTONE 2168 C,29.54,-8.75,-16.68,51.5,0,0,0,0,0,0,17.72,6.92,23.86
PANTONE 2169 C,68.98,-8.33,-27.2,90.87,0,0,0,0.73,0,0,5.84,2.56,0
PANTONE 217 C,82.09,22.43,-12.79,94.37,0,0,5.13,0,0,0,0,0.5,0
PANTONE 2170 C,61.05,-9.83,-32.44,84.75,0,0,0,1.45,0,0,9.89,3.91,0
PANTONE 2171 C,61.91,-10.27,-45.5,83.43,0,0,0,0,0,0,12.26,4.31,0
PANTONE 2172 C,49.31,-1.19,-56.92,70.47,0,0,0,0,0,0,19.53,10,0
PANTONE 2173 C,51.92,-8.04,-55.11,71.85,0,0,0,0,0,0,20.86,7.29,0
PANTONE 2174 C,46.42,-5.67,-59.5,63.37,0,0,0,0,0,0,27.19,9.44,0
PANTONE 2175 C,40.82,-5.52,-63.17,49.59,0,0,0,0,0,0,39.71,10.7,0
PANTONE 2176 C,73.34,-4.08,-10.81,91.42,0,0,2.61,2.08,0,0,3.89,0,0
PANTONE 2177 C,63.28,-8.39,-14.14,86.16,0,1.91,0,3.99,0,0,7.94,0,0
PANTONE 2178 C,56.63,-9.36,-14.76,79.89,0,2.6,0,6.12,0,0,11.39,0,0
PANTONE 2179 C,48.5,-10.56,-15.89,67.4,10.55,0,0,5.39,0,0,16.66,0,0
PANTONE 218 C,63.38,56.12,-16.22,68.05,1.2,0,30.75,0,0,0,0,0,0
PANTONE 2180 C,42.82,-11.7,-16.95,70.32,0,0,0,0,0,0,12.97,3.45,13.26
PANTONE 2181 C,35.77,-12.22,-17.39,60.52,0,0,0,0,0,0,16.99,4.43,18.06
PANTONE 2182 C,28.15,-12.16,-17.19,47.28,0,0,0,0,0,0,21.95,5.73,25.04
PANTONE 2183 C,55.07,-22.21,-36.34,72.94,0,0,4.6,2.05,0,0,20.41,0,0
PANTONE 2184 C,50.59,-12.24,-56.49,67.7,0,0,0,0,0,0,25.84,6.46,0
PANTONE 2185 C,43.84,-22.13,-39.51,58.36,0,4.19,0,3.79,0,0,33.66,0,0
PANTONE 2186 C,27.36,-7.81,-45.38,4.76,0,0,0,0,0,49.98,15.65,29.61,0
PANTONE 2187 C,26.35,-9.8,-37.91,18.23,0,0,23.79,0,0,0,45.7,0,12.28
PANTONE 2188 C,24.46,-10.34,-32.41,18.14,0,0,22.4,0,0,0,42.59,0,16.87
PANTONE 2189 C,18.82,-8.77,-19.41,13.93,0,0,18.98,0,0,0,34.33,0,32.76
PANTONE 219 C,50.37,75.77,-7.64,7.17,8.26,0,84.57,0,0,0,0,0,0
PANTONE 2190 C,69.38,-17.58,-38.02,88.35,0,0,0,0,0,0,9.87,1.78,0
PANTONE 2191 C,61.65,-18.3,-46.82,80.85,0,0,0,0,0,0,16.21,2.94,0
PANTONE 2192 C,54.13,-21.9,-54.35,68.35,0,0,0,0,0,0,28.3,3.35,0
PANTONE 2193 C,54.23,-17.88,-54.28,70.49,0,0,0,0,0,0,25.19,4.32,0
PANTONE 2194 C,50.03,-19.95,-57.92,60.51,0,0,0,0,0,0,35.16,4.33,0
PANTONE 2195 C,45.4,-9.62,-61.37,56.86,0,0,0,0,0,0,34.79,8.35,0
PANTONE 2196 C,39.42,-16.22,-53.2,38.18,0,0,13.27,0,0,0,46.9,0,1.65
PANTONE 2197 C,78.7,-23.78,-24.11,94.06,0,0,0,0,0,0,5.94,0,0
PANTONE 2198 C,74.24,-29.23,-28.94,90.36,0,0,0,0,0,0.91,8.73,0,0
PANTONE 2199 C,68.05,-35.97,-34.45,83.4,0,0,0,0,0,2.61,13.99,0,0
PANTONE 220 C,35.88,65.76,3.24,25.94,15.13,55.2,0,0,0,3.73,0,0,0
PANTONE 2200 C,62.56,-28.24,-30.78,82.09,0,0,0,1.69,0,0,15.79,0.43,0
PANTONE 2201 C,62.26,-40.13,-39.27,75.14,0,0,0,0,0,4.06,20.8,0,0
PANTONE 2202 C,59.66,-35.15,-48.5,72.16,0,0,0,0,0,0,27.84,0,0
PANTONE 2203 C,48.68,-33.18,-36.77,59.72,2.07,0,0,3.11,0,0,35.1,0,0
PANTONE 2204 C,80.11,-7.58,-13.17,94.81,0,0,0,0,0,3.32,0.3,1.57,0
PANTONE 2205 C,69.7,-9.94,-17.95,87.23,0,0,0,0.37,0,8.6,0,3.8,0
PANTONE 2206 C,62.91,-8.63,-19.46,81.76,0,4.16,0,0,0,13.13,0,0.95,0
PANTONE 2207 C,60.21,-12.46,-21.41,78.07,0,0,0,0,0,14.67,0,6.15,1.11
PANTONE 2208 C,53.64,-11.7,-22.77,70.1,0,7.65,0,0,0,21.25,1,0,0
PANTONE 2209 C,51.88,-13.74,-23.46,63.77,3.76,0,0,0,0,24.07,0,8.4,0
PANTONE 221 C,32.19,57.06,2.61,26.47,0,53.83,0,12.03,0,7.67,0,0,0
PANTONE 2210 C,30.67,-9.47,-27.48,22.52,0,21.89,0,0,0.65,54.94,0,0,0
PANTONE 2211 C,60.47,-12.06,-13.25,81.46,0,4.03,0,0,5.7,0,8.81,0,0
PANTONE 2212 C,51.68,-14.33,-15.3,70.93,0,6.32,0,0,8.82,0,13.93,0,0
PANTONE 2213 C,43.32,-18.42,-13.36,69.69,0,0,0,0,0,0,15.28,0.16,14.87
PANTONE 2214 C,42.51,-16.72,-15.55,55.19,0,9.55,0,0,14.23,0,21.03,0,0
PANTONE 2215 C,33.39,-10.72,-15.09,21.07,0,0,26.8,0,0,39.65,0,0,12.48
PANTONE 2216 C,30.22,-9.15,-12.09,18.52,0,0,25.75,0,0,37.8,0,0,17.93
PANTONE 2217 C,20.86,-14.68,-10.64,3.73,0,14.47,0,0,0,56.28,0,0,25.52
PANTONE 2218 C,67.39,-17.37,-17.09,82.91,0,0,0,0.44,0,12.86,0,3.79,0
PANTONE 2219 C,62.48,-19.41,-18.68,76.74,0,0,0,0.69,0,17.52,0,5.05,0
PANTONE 222 C,26.22,39.41,-5.33,41.65,3.44,32.83,0,0,0,0,0,0,22.08
PANTONE 2220 C,57.41,-20.87,-20.11,68.93,2.27,0,0,0,0,23.09,0,5.71,0
PANTONE 2221 C,52.37,-23.36,-21.07,49.62,0,0,15.46,0,0,34.64,0,0.28,0
PANTONE 2222 C,49.11,-22.83,-22.22,41.48,0,0.05,19.05,0,0,39.42,0,0,0
PANTONE 2223 C,44.76,-23.1,-23.15,28.91,0,0,23.75,0,0.17,47.17,0,0,0
